#           M   M*dndlnm_    dndlnm_j     f(sig)_  lnsigma_j    neff_j       ngtm_       nltm_   sigma_j
  1.25893e+15 6.70878e+07 5.32897e-08 3.32046e-03   0.727100 -1.382325 1.20133e-08 8.10069e+05  0.483308
  1.41254e+15 4.65524e+07 3.29566e-08 2.28480e-03   0.758263 -1.368677 7.04855e-09 8.10069e+05  0.468479
  1.58489e+15 3.14350e+07 1.98341e-08 1.52354e-03   0.789757 -1.348013 4.00967e-09 8.10069e+05  0.453955
  1.77828e+15 2.04569e+07 1.15038e-08 9.80896e-04   0.821646 -1.330205 2.20572e-09 8.10069e+05  0.439707
  1.99526e+15 1.28163e+07 6.42336e-09 6.08891e-04   0.853817 -1.314734 1.17375e-09 8.10069e+05  0.425787
  2.23872e+15 7.73646e+06 3.45575e-09 3.62709e-04   0.886368 -1.292230 6.05064e-10 8.10069e+05  0.412150
  2.51189e+15 4.44434e+06 1.76932e-09 2.06554e-04   0.919302 -1.277256 3.04285e-10 8.10069e+05  0.398797
  2.81838e+15         nan         nan         nan   0.952522 -1.258328         nan         nan  0.385767
  3.16228e+15         nan         nan         nan   0.986169 -1.235227         nan         nan  0.373003
  3.54813e+15         nan         nan         nan   1.020164 -1.221827         nan         nan  0.360536
  3.98107e+15         nan         nan         nan   1.054484 -1.199512         nan         nan  0.348372
  4.46684e+15         nan         nan         nan   1.089261 -1.177652         nan         nan  0.336465
  5.01187e+15         nan         nan         nan   1.124343 -1.163544         nan         nan  0.324866
  5.62341e+15         nan         nan         nan   1.159815 -1.138272         nan         nan  0.313544
  6.30957e+15         nan         nan         nan   1.195748 -1.120123         nan         nan  0.302478
  7.07946e+15         nan         nan         nan   1.231963 -1.102240         nan         nan  0.291719
  7.94328e+15         nan         nan         nan   1.268645 -1.074474         nan         nan  0.281212
  8.91251e+15         nan         nan         nan   1.305753 -1.060542         nan         nan  0.270968
